task,condition_id,episode_key,source_dir,label_episode_success,label_episode_failure,label_episode_num_steps,label_episode_max_steps,label_stop_reason,label_elapsed_s,label_drawer_max_qpos,label_drawer_max_progress,label_coke_ever_grasped,label_coke_ever_lifted,label_coke_ever_lifted_significantly,label_coke_max_stage
move_near,0,move_near/condition_0000,/root/autodl-tmp/molmoact_project/results/formal/move_near/condition_0000,1,0,58,80,success,409.21724210493267,nan,nan,0,0,0,4
move_near,1,move_near/condition_0001,/root/autodl-tmp/molmoact_project/results/formal/move_near/condition_0001,1,0,39,80,success,278.31664804089814,nan,nan,0,0,0,4
move_near,2,move_near/condition_0002,/root/autodl-tmp/molmoact_project/results/formal/move_near/condition_0002,1,0,26,80,success,181.24887415859848,nan,nan,0,0,0,4
move_near,3,move_near/condition_0003,/root/autodl-tmp/molmoact_project/results/formal/move_near/condition_0003,1,0,32,80,success,225.71137068420649,nan,nan,0,0,0,4
move_near,4,move_near/condition_0004,/root/autodl-tmp/molmoact_project/results/formal/move_near/condition_0004,1,0,29,80,success,201.86297781206667,nan,nan,0,0,0,4
move_near,5,move_near/condition_0005,/root/autodl-tmp/molmoact_project/results/formal/move_near/condition_0005,0,1,80,80,truncated,559.260011038743,nan,nan,0,0,0,0
move_near,6,move_near/condition_0006,/root/autodl-tmp/molmoact_project/results/formal/move_near/condition_0006,1,0,34,80,success,233.10331394337118,nan,nan,0,0,0,4
move_near,7,move_near/condition_0007,/root/autodl-tmp/molmoact_project/results/formal/move_near/condition_0007,1,0,51,80,success,354.28887896984816,nan,nan,0,0,0,4
move_near,8,move_near/condition_0008,/root/autodl-tmp/molmoact_project/results/formal/move_near/condition_0008,1,0,24,80,success,167.53313442971557,nan,nan,0,0,0,4
move_near,9,move_near/condition_0009,/root/autodl-tmp/molmoact_project/results/formal/move_near/condition_0009,0,1,80,80,truncated,556.3097134036943,nan,nan,0,0,0,0
move_near,10,move_near/condition_0010,/root/autodl-tmp/molmoact_project/results/formal/move_near/condition_0010,0,1,80,80,truncated,566.4524604631588,nan,nan,0,0,0,0
move_near,11,move_near/condition_0011,/root/autodl-tmp/molmoact_project/results/formal/move_near/condition_0011,1,0,35,80,success,245.4486611345783,nan,nan,0,0,0,4
move_near,12,move_near/condition_0012,/root/autodl-tmp/molmoact_project/results/formal/move_near/condition_0012,0,1,80,80,truncated,558.3166586747393,nan,nan,0,0,0,0
move_near,13,move_near/condition_0013,/root/autodl-tmp/molmoact_project/results/formal/move_near/condition_0013,0,1,80,80,truncated,554.7463761111721,nan,nan,0,0,0,0
move_near,14,move_near/condition_0014,/root/autodl-tmp/molmoact_project/results/formal/move_near/condition_0014,1,0,35,80,success,240.7563447440043,nan,nan,0,0,0,4
move_near,15,move_near/condition_0015,/root/autodl-tmp/molmoact_project/results/formal/move_near/condition_0015,0,1,80,80,truncated,564.2183775631711,nan,nan,0,0,0,0
move_near,16,move_near/condition_0016,/root/autodl-tmp/molmoact_project/results/formal/move_near/condition_0016,0,1,80,80,truncated,564.7497908649966,nan,nan,0,0,0,0
move_near,17,move_near/condition_0017,/root/autodl-tmp/molmoact_project/results/formal/move_near/condition_0017,0,1,80,80,truncated,568.926012808457,nan,nan,0,0,0,0
move_near,18,move_near/condition_0018,/root/autodl-tmp/molmoact_project/results/formal/move_near/condition_0018,0,1,80,80,truncated,558.1428187098354,nan,nan,0,0,0,0
move_near,19,move_near/condition_0019,/root/autodl-tmp/molmoact_project/results/formal/move_near/condition_0019,0,1,80,80,truncated,561.01642323751,nan,nan,0,0,0,0
