horizon,ablation,features,n_features,n_steps,n_episodes,positive_steps,positive_prevalence,step_auroc_oof,step_auroc_ci_low,step_auroc_ci_high,step_auprc_oof,step_auprc_baseline,step_auprc_ci_low,step_auprc_ci_high,episode_auroc_max_valid_retro,episode_auroc_max_ci_low,episode_auroc_max_ci_high,episode_auprc_max_valid_retro,episode_auprc_max_baseline,episode_auprc_max_ci_low,episode_auprc_max_ci_high,episode_auroc_mean_valid_retro,episode_auroc_last_valid_retro,episode_auprc_mean_valid_retro,episode_auprc_last_valid_retro,episode_score_aggregation_primary,threshold_selection,threshold_median_train_fold,target_episode_far,success_false_alarm_count,far_episode,failure_detection_count_h_window,failure_detection_rate_h_window,failure_premature_alert_count,failure_premature_alert_rate,mean_lead_time_steps_h_window,median_lead_time_steps_h_window,n_failures_with_h_window_alert
5,Action,feat_model_translation_norm;feat_model_rotation_norm;feat_model_gripper;feat_model_action_jump_prev_l2;feat_model_translation_jump_prev_l2;feat_model_rotation_jump_prev_l2;feat_model_translation_cosine_prev;feat_model_translation_direction_flip;feat_model_gripper_change_prev,9,704,20,40,0.056818181818181816,0.5845632530120483,0.46875696966407454,0.7206004734772491,0.08611280287354556,0.056818181818181816,0.041783334050562296,0.16826505647613604,0.36458333333333337,0.12087912087912084,0.677327967171717,0.374079228520018,0.4,0.1874905303030303,0.7351017760905532,0.27083333333333337,0.46875,0.40491460294091874,0.4241323004480899,max_valid (retrospective any-alert score),inner OOF within each outer train fold,0.9988999262575499,0.1,1,0.08333333333333333,0,0.0,0,0.0,,,0
5,Action+Depth,feat_model_translation_norm;feat_model_rotation_norm;feat_model_gripper;feat_model_action_jump_prev_l2;feat_model_translation_jump_prev_l2;feat_model_rotation_jump_prev_l2;feat_model_translation_cosine_prev;feat_model_translation_direction_flip;feat_model_gripper_change_prev;feat_depth_token_count;feat_depth_unique_count;feat_depth_token_entropy;feat_depth_spatial_boundary_ratio;feat_depth_hamming_prev;feat_depth_change_ratio_prev;feat_depth_change_ratio_rollmean,16,704,20,40,0.056818181818181816,0.6868975903614458,0.6093449453333759,0.7889099942637623,0.1628896020399452,0.056818181818181816,0.06177997191116999,0.3252781498843476,0.48958333333333337,0.20996978021978022,0.7575924075924075,0.433132665945166,0.4,0.2145324094550101,0.7700054979904418,0.375,0.59375,0.45326077001773596,0.4778041403041403,max_valid (retrospective any-alert score),inner OOF within each outer train fold,0.9999186862856059,0.1,1,0.08333333333333333,0,0.0,0,0.0,,,0
5,Action+Trace,feat_model_translation_norm;feat_model_rotation_norm;feat_model_gripper;feat_model_action_jump_prev_l2;feat_model_translation_jump_prev_l2;feat_model_rotation_jump_prev_l2;feat_model_translation_cosine_prev;feat_model_translation_direction_flip;feat_model_gripper_change_prev;feat_trace_num_points;feat_trace_polyline_length;feat_trace_straightness;feat_trace_mean_turn_angle_rad;feat_trace_spread;feat_trace_curvature;feat_trace_endpoint_drift_prev;feat_trace_shape_drift_prev;feat_trace_direction_change_prev_rad;feat_trace_shape_drift_rollmean,19,704,20,40,0.056818181818181816,0.5219879518072289,0.3701448084775423,0.6814843536000581,0.09080638457711283,0.056818181818181816,0.03702045983553891,0.21137175018948506,0.4166666666666667,0.11997619047619044,0.7708958333333333,0.5472363437001595,0.4,0.21885336155072996,0.8251934779759857,0.38541666666666663,0.45833333333333337,0.463938492063492,0.41585811956361496,max_valid (retrospective any-alert score),inner OOF within each outer train fold,0.9982977940961407,0.1,1,0.08333333333333333,0,0.0,0,0.0,,,0
5,Action+Depth+Trace,feat_model_translation_norm;feat_model_rotation_norm;feat_model_gripper;feat_model_action_jump_prev_l2;feat_model_translation_jump_prev_l2;feat_model_rotation_jump_prev_l2;feat_model_translation_cosine_prev;feat_model_translation_direction_flip;feat_model_gripper_change_prev;feat_depth_token_count;feat_depth_unique_count;feat_depth_token_entropy;feat_depth_spatial_boundary_ratio;feat_depth_hamming_prev;feat_depth_change_ratio_prev;feat_depth_change_ratio_rollmean;feat_trace_num_points;feat_trace_polyline_length;feat_trace_straightness;feat_trace_mean_turn_angle_rad;feat_trace_spread;feat_trace_curvature;feat_trace_endpoint_drift_prev;feat_trace_shape_drift_prev;feat_trace_direction_change_prev_rad;feat_trace_shape_drift_rollmean,26,704,20,40,0.056818181818181816,0.6737951807228916,0.5517996405305706,0.8161213379469434,0.14622654162731036,0.056818181818181816,0.05083171327202736,0.35231466984420357,0.44791666666666674,0.13130411255411253,0.7582961309523809,0.5549138683813607,0.4,0.24044920144426726,0.8258633797871766,0.4375,0.5729166666666667,0.43458539010009595,0.47338443720022666,max_valid (retrospective any-alert score),inner OOF within each outer train fold,0.999807798784275,0.1,1,0.08333333333333333,0,0.0,1,0.125,,,0
5,Depth+Trace,feat_depth_token_count;feat_depth_unique_count;feat_depth_token_entropy;feat_depth_spatial_boundary_ratio;feat_depth_hamming_prev;feat_depth_change_ratio_prev;feat_depth_change_ratio_rollmean;feat_trace_num_points;feat_trace_polyline_length;feat_trace_straightness;feat_trace_mean_turn_angle_rad;feat_trace_spread;feat_trace_curvature;feat_trace_endpoint_drift_prev;feat_trace_shape_drift_prev;feat_trace_direction_change_prev_rad;feat_trace_shape_drift_rollmean,17,704,20,40,0.056818181818181816,0.7293298192771084,0.625087626774848,0.8435597134823939,0.12441087031879416,0.056818181818181816,0.05666825644177105,0.3234799960998397,0.4479166666666667,0.16483516483516483,0.7292708333333332,0.39292929292929296,0.4,0.20959698879551822,0.7300668596422185,0.625,0.6354166666666666,0.5136160714285714,0.5545867327117326,max_valid (retrospective any-alert score),inner OOF within each outer train fold,0.9964833873392984,0.1,0,0.0,0,0.0,0,0.0,,,0
10,Action,feat_model_translation_norm;feat_model_rotation_norm;feat_model_gripper;feat_model_action_jump_prev_l2;feat_model_translation_jump_prev_l2;feat_model_rotation_jump_prev_l2;feat_model_translation_cosine_prev;feat_model_translation_direction_flip;feat_model_gripper_change_prev,9,704,20,80,0.11363636363636363,0.5147035256410255,0.41102425921609614,0.6363063312411953,0.11847032252519103,0.11363636363636363,0.06087892729927868,0.21188843796569604,0.3333333333333333,0.09333333333333332,0.5800604395604396,0.3474882756132756,0.4,0.16873569493586907,0.6640583940912886,0.33333333333333326,0.5104166666666666,0.42401768123517347,0.43949177757227287,max_valid (retrospective any-alert score),inner OOF within each outer train fold,0.9678523992956506,0.1,1,0.08333333333333333,0,0.0,0,0.0,,,0
10,Action+Depth,feat_model_translation_norm;feat_model_rotation_norm;feat_model_gripper;feat_model_action_jump_prev_l2;feat_model_translation_jump_prev_l2;feat_model_rotation_jump_prev_l2;feat_model_translation_cosine_prev;feat_model_translation_direction_flip;feat_model_gripper_change_prev;feat_depth_token_count;feat_depth_unique_count;feat_depth_token_entropy;feat_depth_spatial_boundary_ratio;feat_depth_hamming_prev;feat_depth_change_ratio_prev;feat_depth_change_ratio_rollmean,16,704,20,80,0.11363636363636363,0.6263221153846154,0.5430368542741121,0.7466531449206607,0.22123422687141375,0.11363636363636363,0.09388176278482,0.42102016422474103,0.6145833333333334,0.3332417582417582,0.8681457431457431,0.5041467304625199,0.4,0.27480305330634275,0.8812142335004177,0.5833333333333334,0.5833333333333334,0.5868803163211058,0.5224125445632799,max_valid (retrospective any-alert score),inner OOF within each outer train fold,0.9879385527710534,0.1,1,0.08333333333333333,1,0.125,0,0.0,7.0,7.0,1
10,Action+Trace,feat_model_translation_norm;feat_model_rotation_norm;feat_model_gripper;feat_model_action_jump_prev_l2;feat_model_translation_jump_prev_l2;feat_model_rotation_jump_prev_l2;feat_model_translation_cosine_prev;feat_model_translation_direction_flip;feat_model_gripper_change_prev;feat_trace_num_points;feat_trace_polyline_length;feat_trace_straightness;feat_trace_mean_turn_angle_rad;feat_trace_spread;feat_trace_curvature;feat_trace_endpoint_drift_prev;feat_trace_shape_drift_prev;feat_trace_direction_change_prev_rad;feat_trace_shape_drift_rollmean,19,704,20,80,0.11363636363636363,0.5397435897435898,0.40616777317534314,0.6806058495397184,0.12627854783245665,0.11363636363636363,0.05904248454580947,0.2411433068387912,0.46875,0.1904017857142857,0.8020861950549449,0.5154093165606324,0.4,0.23503472222222224,0.804180350506708,0.5208333333333333,0.5520833333333333,0.5754289215686275,0.5414011437908497,max_valid (retrospective any-alert score),inner OOF within each outer train fold,0.9861527231052828,0.1,0,0.0,0,0.0,1,0.125,,,0
10,Action+Depth+Trace,feat_model_translation_norm;feat_model_rotation_norm;feat_model_gripper;feat_model_action_jump_prev_l2;feat_model_translation_jump_prev_l2;feat_model_rotation_jump_prev_l2;feat_model_translation_cosine_prev;feat_model_translation_direction_flip;feat_model_gripper_change_prev;feat_depth_token_count;feat_depth_unique_count;feat_depth_token_entropy;feat_depth_spatial_boundary_ratio;feat_depth_hamming_prev;feat_depth_change_ratio_prev;feat_depth_change_ratio_rollmean;feat_trace_num_points;feat_trace_polyline_length;feat_trace_straightness;feat_trace_mean_turn_angle_rad;feat_trace_spread;feat_trace_curvature;feat_trace_endpoint_drift_prev;feat_trace_shape_drift_prev;feat_trace_direction_change_prev_rad;feat_trace_shape_drift_rollmean,26,704,20,80,0.11363636363636363,0.6619991987179488,0.555990074995536,0.7701008289279677,0.1935209114606674,0.11363636363636363,0.08140903792442608,0.3615343348834433,0.625,0.34984375,0.8901904761904762,0.6493589743589744,0.4,0.3507490723562152,0.8972189529220779,0.65625,0.6666666666666666,0.5489583333333333,0.650514763014763,max_valid (retrospective any-alert score),inner OOF within each outer train fold,0.9983240082097976,0.1,1,0.08333333333333333,0,0.0,2,0.25,,,0
10,Depth+Trace,feat_depth_token_count;feat_depth_unique_count;feat_depth_token_entropy;feat_depth_spatial_boundary_ratio;feat_depth_hamming_prev;feat_depth_change_ratio_prev;feat_depth_change_ratio_rollmean;feat_trace_num_points;feat_trace_polyline_length;feat_trace_straightness;feat_trace_mean_turn_angle_rad;feat_trace_spread;feat_trace_curvature;feat_trace_endpoint_drift_prev;feat_trace_shape_drift_prev;feat_trace_direction_change_prev_rad;feat_trace_shape_drift_rollmean,17,704,20,80,0.11363636363636363,0.6960136217948718,0.5998004024767801,0.7904833706786172,0.20673703939938926,0.11363636363636363,0.0865067538547739,0.37325160774271005,0.6041666666666667,0.3213928571428571,0.8601666666666665,0.6068181818181818,0.4,0.2818722943722944,0.8822526674487459,0.6770833333333334,0.6979166666666666,0.5898339598997494,0.5944715007215007,max_valid (retrospective any-alert score),inner OOF within each outer train fold,0.9889020831253513,0.1,0,0.0,0,0.0,1,0.125,,,0
20,Action,feat_model_translation_norm;feat_model_rotation_norm;feat_model_gripper;feat_model_action_jump_prev_l2;feat_model_translation_jump_prev_l2;feat_model_rotation_jump_prev_l2;feat_model_translation_cosine_prev;feat_model_translation_direction_flip;feat_model_gripper_change_prev,9,704,20,160,0.22727272727272727,0.44428998161764705,0.3662344213214359,0.53357703595011,0.21084265508201447,0.22727272727272727,0.10936516937738491,0.3690454972544274,0.5,0.22609126984126982,0.7918749999999999,0.4073957383990279,0.4,0.2312431526806527,0.7352172571580465,0.5104166666666667,0.5520833333333333,0.5729871553884711,0.47328574203574203,max_valid (retrospective any-alert score),inner OOF within each outer train fold,0.94211805333677,0.1,1,0.08333333333333333,0,0.0,0,0.0,,,0
20,Action+Depth,feat_model_translation_norm;feat_model_rotation_norm;feat_model_gripper;feat_model_action_jump_prev_l2;feat_model_translation_jump_prev_l2;feat_model_rotation_jump_prev_l2;feat_model_translation_cosine_prev;feat_model_translation_direction_flip;feat_model_gripper_change_prev;feat_depth_token_count;feat_depth_unique_count;feat_depth_token_entropy;feat_depth_spatial_boundary_ratio;feat_depth_hamming_prev;feat_depth_change_ratio_prev;feat_depth_change_ratio_rollmean,16,704,20,160,0.22727272727272727,0.5157628676470589,0.43534534107224304,0.6254080955955955,0.25923765358024464,0.22727272727272727,0.12480725743171776,0.4395543679297436,0.6458333333333334,0.35998437499999997,0.8906808035714285,0.4952651515151515,0.4,0.27124160561660565,0.8779641381345926,0.65625,0.65625,0.5684523809523809,0.551951928790164,max_valid (retrospective any-alert score),inner OOF within each outer train fold,0.9844309103969932,0.1,0,0.0,0,0.0,0,0.0,,,0
20,Action+Trace,feat_model_translation_norm;feat_model_rotation_norm;feat_model_gripper;feat_model_action_jump_prev_l2;feat_model_translation_jump_prev_l2;feat_model_rotation_jump_prev_l2;feat_model_translation_cosine_prev;feat_model_translation_direction_flip;feat_model_gripper_change_prev;feat_trace_num_points;feat_trace_polyline_length;feat_trace_straightness;feat_trace_mean_turn_angle_rad;feat_trace_spread;feat_trace_curvature;feat_trace_endpoint_drift_prev;feat_trace_shape_drift_prev;feat_trace_direction_change_prev_rad;feat_trace_shape_drift_rollmean,19,704,20,160,0.22727272727272727,0.4223575367647059,0.30183540870384223,0.5443053401531995,0.22267075235703943,0.22727272727272727,0.10075189340864205,0.3914158086362783,0.6145833333333333,0.3212053571428572,0.875103021978022,0.5658730158730159,0.4,0.26041666666666663,0.8672849025974027,0.4375,0.5104166666666666,0.4913517768780926,0.49828574203574205,max_valid (retrospective any-alert score),inner OOF within each outer train fold,0.9690006587991714,0.1,0,0.0,1,0.125,0,0.0,19.0,19.0,1
20,Action+Depth+Trace,feat_model_translation_norm;feat_model_rotation_norm;feat_model_gripper;feat_model_action_jump_prev_l2;feat_model_translation_jump_prev_l2;feat_model_rotation_jump_prev_l2;feat_model_translation_cosine_prev;feat_model_translation_direction_flip;feat_model_gripper_change_prev;feat_depth_token_count;feat_depth_unique_count;feat_depth_token_entropy;feat_depth_spatial_boundary_ratio;feat_depth_hamming_prev;feat_depth_change_ratio_prev;feat_depth_change_ratio_rollmean;feat_trace_num_points;feat_trace_polyline_length;feat_trace_straightness;feat_trace_mean_turn_angle_rad;feat_trace_spread;feat_trace_curvature;feat_trace_endpoint_drift_prev;feat_trace_shape_drift_prev;feat_trace_direction_change_prev_rad;feat_trace_shape_drift_rollmean,26,704,20,160,0.22727272727272727,0.4962775735294117,0.4053962444363148,0.5987685038024493,0.24624823731242504,0.22727272727272727,0.11891977342004623,0.42910414464214686,0.6770833333333333,0.39989583333333334,0.8928690476190476,0.5958069708069709,0.4,0.28533932366652953,0.8764608828671328,0.5416666666666667,0.5729166666666667,0.47431198187777135,0.4836077117327117,max_valid (retrospective any-alert score),inner OOF within each outer train fold,0.9904194580140254,0.1,0,0.0,1,0.125,0,0.0,19.0,19.0,1
20,Depth+Trace,feat_depth_token_count;feat_depth_unique_count;feat_depth_token_entropy;feat_depth_spatial_boundary_ratio;feat_depth_hamming_prev;feat_depth_change_ratio_prev;feat_depth_change_ratio_rollmean;feat_trace_num_points;feat_trace_polyline_length;feat_trace_straightness;feat_trace_mean_turn_angle_rad;feat_trace_spread;feat_trace_curvature;feat_trace_endpoint_drift_prev;feat_trace_shape_drift_prev;feat_trace_direction_change_prev_rad;feat_trace_shape_drift_rollmean,17,704,20,160,0.22727272727272727,0.5326286764705881,0.44242568648545844,0.634035141487295,0.2703262556065071,0.22727272727272727,0.1321427690090465,0.44064954489728336,0.7291666666666667,0.46379870129870127,0.9285714285714284,0.6846688034188033,0.4,0.3522564935064935,0.931833400974026,0.5520833333333333,0.6979166666666666,0.47309757236227823,0.5493707681207681,max_valid (retrospective any-alert score),inner OOF within each outer train fold,0.9716997908986248,0.1,0,0.0,1,0.125,0,0.0,19.0,19.0,1
