metric,failure_n,success_n,failure_mean,failure_median,success_mean,success_median,failure_minus_success_mean,failure_high_auc,mann_whitney_p
amplitude_thresholded_turning_rate,8,12,0.7538517290737599,0.7571662571662572,0.6944964488269442,0.7058823529411765,0.05935528024681569,0.7135416666666666,0.12197762276035858
amplitude_thresholded_turning_rate_all_pairs,8,12,0.2681818181818182,0.2545454545454545,0.41511822422453676,0.4037037037037037,-0.14693640604271857,0.13541666666666666,0.007727810369485212
prominent_peak_rate_per10,8,12,2.1875,2.0535714285714284,2.5228261062145116,2.5,-0.33532610621451164,0.23958333333333337,0.058254333702518875
median_inter_peak_interval,8,12,3.6875,4.0,3.0833333333333335,3.0,0.6041666666666665,0.71875,0.10224781652999361
