horizon,ablation,risk_group,n_steps,n_episodes,score_mean,score_median,score_p10,score_p90,score_max
5,A0_action_magnitude_proxy,failure_h_window,40,8,0.5135510902664344,0.5364322857953827,0.42657562061055077,0.6095674566524362,0.6831028629896402
5,A0_action_magnitude_proxy,failure_pre_window,252,8,0.5286602792557842,0.5062296460885527,0.41876614113893457,0.6839106033434323,0.6839106033434323
5,A0_action_magnitude_proxy,success,412,12,0.48152494121698813,0.48467761602691184,0.4183503783103004,0.5481938518136674,0.6459099706619048
5,A1_action_structured,failure_h_window,40,8,0.4614808058714658,0.45349123988497375,0.19841609598921742,0.6980934716711326,0.9800415232873209
5,A1_action_structured,failure_pre_window,252,8,0.39343429308353706,0.389118160490048,0.1517545866718517,0.6172553943343219,0.9782480999792015
5,A1_action_structured,success,412,12,0.3997416534022295,0.3578991836947296,0.10593885925145972,0.8005644877966936,0.9941102214612008
5,A2_trace_only,failure_h_window,40,8,0.48241560520142945,0.5176549980393348,0.11513789458689377,0.7546296228066836,0.8069311692588166
5,A2_trace_only,failure_pre_window,252,8,0.41370651614219217,0.41844117776472545,0.00326796210247017,0.7329959252722014,0.9344315808612742
5,A2_trace_only,success,412,12,0.41540738040471675,0.4571418878183173,0.037715784678653816,0.7271673842503995,0.935010659884117
5,A3_depth_trace,failure_h_window,40,8,0.5396577390397168,0.5825867721837857,0.17003485859037573,0.9331411941293354,0.9798990456507074
5,A3_depth_trace,failure_pre_window,252,8,0.3203958051042344,0.26955950195524114,0.0016511226041943643,0.706917038283118,0.9654261442668733
5,A3_depth_trace,success,412,12,0.29681135561531435,0.2015809054149132,0.001492586902405954,0.7982726497795898,0.9917297375489342
5,A4_depth_trace_action,failure_h_window,40,8,0.4651065345281603,0.39743199328266154,0.014035013580085388,0.9587356305148254,0.9984898715669012
5,A4_depth_trace_action,failure_pre_window,252,8,0.2738618007349989,0.16891157216770422,0.0003748189608741348,0.6367135136314056,0.9999460366002723
5,A4_depth_trace_action,success,412,12,0.2781180587546123,0.11459097317979913,0.00045758075106902747,0.8428939392264164,0.9984008782629326
10,A0_action_magnitude_proxy,failure_h_window,80,8,0.5093775672179702,0.5190811533288048,0.45148431184652565,0.6042796628517909,0.6784616294152696
10,A0_action_magnitude_proxy,failure_pre_window,212,8,0.5413311340638401,0.5058689014473541,0.4467167764059818,0.6784616294152696,0.6784616294152696
10,A0_action_magnitude_proxy,success,412,12,0.4904700880292611,0.4923647340148118,0.44906957430150973,0.5390724470906085,0.6429776095021152
10,A1_action_structured,failure_h_window,80,8,0.4782481312586385,0.4734296170051988,0.2870031218396087,0.6767834048751394,0.8168022548442129
10,A1_action_structured,failure_pre_window,212,8,0.487692972272242,0.5066281045473862,0.254235417823679,0.6748516594382529,0.9283584241515594
10,A1_action_structured,success,412,12,0.4569755650578899,0.4561796801700604,0.23294568876259145,0.7090102005369291,0.9772498691630308
10,A2_trace_only,failure_h_window,80,8,0.5076088955115396,0.5532862015669938,0.18815042967889445,0.6977032003362017,0.8585294601386122
10,A2_trace_only,failure_pre_window,212,8,0.4615781142350232,0.5425154986052834,0.123740579507096,0.7073941197979903,0.9074898487676915
10,A2_trace_only,success,412,12,0.4433477690646614,0.4977989976451723,0.11632414421131462,0.7049515662076691,0.8814892968153665
10,A3_depth_trace,failure_h_window,80,8,0.5511076758442048,0.5488124365759448,0.2230113882528954,0.8920518624330857,0.9493741452328759
10,A3_depth_trace,failure_pre_window,212,8,0.3754906769697437,0.40267843072933673,0.028167457288561463,0.6899360245893957,0.9971651412565291
10,A3_depth_trace,success,412,12,0.361347844471317,0.3122036661698102,0.0358597866321479,0.7883485371214476,0.9739741161447748
10,A4_depth_trace_action,failure_h_window,80,8,0.527630275755212,0.49556426750815313,0.14282630086627623,0.9104250071092675,0.9615954352919455
10,A4_depth_trace_action,failure_pre_window,212,8,0.3797275205538343,0.405060495828732,0.009588617365111686,0.6867372894517924,0.9995781726622093
10,A4_depth_trace_action,success,412,12,0.3572320108342041,0.3144703754707532,0.01975186986061552,0.7841205239951071,0.9885154767696426
20,A0_action_magnitude_proxy,failure_h_window,160,8,0.5025487020373074,0.501822292772519,0.4630568354523765,0.5587745054279664,0.5694622548846138
20,A0_action_magnitude_proxy,failure_pre_window,132,4,0.521751170496141,0.5234638898114954,0.4762441134616827,0.5632584482290808,0.5632584482290808
20,A0_action_magnitude_proxy,success,412,12,0.4999193561844003,0.4998091429106799,0.46581541215680927,0.5430707796558564,0.5767108881260854
20,A1_action_structured,failure_h_window,160,8,0.48482131902203635,0.49094819373940346,0.3619546291988433,0.5826076378260747,0.8185707159374013
20,A1_action_structured,failure_pre_window,132,4,0.5271627614712152,0.548598168989204,0.41421463711528156,0.5778839120747907,0.7152355842614475
20,A1_action_structured,success,412,12,0.49439559774722514,0.4975423629017493,0.3750194780194956,0.5929344529560266,0.9053022108225972
20,A2_trace_only,failure_h_window,160,8,0.4324665418054875,0.4376135619146302,0.15060987055379982,0.6758438299658122,0.9796193317228534
20,A2_trace_only,failure_pre_window,132,4,0.42260168593501807,0.3707240722978351,0.2239230480144922,0.6242207012737825,0.8261093189853399
20,A2_trace_only,success,412,12,0.47906200621915795,0.4796790236104437,0.327807116489523,0.6326180809358131,0.8379230574730442
20,A3_depth_trace,failure_h_window,160,8,0.4534722705282773,0.449536312908517,0.1499524401142545,0.7295109056018989,0.9972665436618899
20,A3_depth_trace,failure_pre_window,132,4,0.39620504772069404,0.3571336350872487,0.2073039399714275,0.615064714074713,0.9451283983860229
20,A3_depth_trace,success,412,12,0.448297321589307,0.4247006206170475,0.2275175098689256,0.7028043958864701,0.9428753375477187
20,A4_depth_trace_action,failure_h_window,160,8,0.4371112266014787,0.4252885893980045,0.13494075002302935,0.7636118611119252,0.9997428501183467
20,A4_depth_trace_action,failure_pre_window,132,4,0.41563539097588104,0.40005571760168673,0.1400539915568431,0.6592274924014792,0.9509642209218635
20,A4_depth_trace_action,success,412,12,0.44649492489776893,0.43100373596245733,0.16962323473514024,0.7379242175210408,0.9554317275386515
